date,station_id,station_name,region_name,province_name,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg,temp_range,rain_3d,rain_7d,rain_change_1d,wind_change_1d,ddd_x_sin,ddd_x_cos,day_of_year_sin,day_of_year_cos,station_96855,missing_RR,missing_ff_x,missing_ff_avg,missing_RH_avg,anomaly_score,status
2018-05-08,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,33.1,27.7,76.0,0.0,9.8,5.0,2.0,10.1,0.0,0.0,0.0,2.0,-1.0,-1.8369701987210294e-16,0.8073707443023492,-0.5900444739548627,0,0,0,0,0,1.2465324,NORMAL
2018-05-09,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,33.4,26.6,74.0,0.0,9.0,4.0,2.0,12.4,0.0,0.0,0.0,-1.0,-0.984807753012208,-0.1736481776669303,0.7971015927871943,-0.6038452208771035,0,0,0,0,0,1.2157209,NORMAL
2018-05-10,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.3,27.1,71.0,0.0,9.5,5.0,2.0,10.299999999999995,0.0,0.0,0.0,1.0,-2.4492935982947064e-16,1.0,0.7865965660866021,-0.6174672802835514,0,0,0,0,0,1.1504198,NORMAL
2018-05-11,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,33.3,26.6,77.0,0.0,9.5,4.0,1.0,12.299999999999995,0.0,0.0,0.0,-1.0,1.2246467991473532e-16,-1.0,0.7758587728069828,-0.6309066211876704,0,0,0,0,0,1.1404384,NORMAL
2018-05-12,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,32.8,26.9,74.0,0.0,9.0,3.0,1.0,10.799999999999995,0.0,0.0,0.0,-1.0,0.766044443118978,-0.6427876096865394,0.7648913904341226,-0.6441592666722685,0,0,0,0,0,1.0976231,NORMAL
2018-05-13,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,21.0,33.3,26.7,74.0,0.0,8.9,2.0,1.0,12.299999999999995,0.0,0.0,0.0,-1.0,-0.9396926207859084,-0.3420201433256685,0.753697664392914,-0.6572212950663319,0,0,0,0,0,1.1065264,NORMAL
2018-05-14,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,22.0,33.4,26.8,79.0,0.0,10.0,4.0,2.0,11.4,0.0,0.0,0.0,2.0,-0.984807753012208,0.1736481776669299,0.742280907086982,-0.6700888411055113,0,0,0,0,0,1.1385783,NORMAL
2018-05-15,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.5,26.8,86.0,0.0,10.0,5.0,2.0,7.5,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210294e-16,0.7306444969184916,-0.6827580970759147,0,0,0,0,0,1.1617818,NORMAL
2018-05-16,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.6,26.3,85.0,4.2,5.2,2.0,1.0,7.600000000000001,4.2,4.2,4.2,-3.0,-0.9396926207859084,0.342020143325669,0.7187918772884232,-0.6952253139408722,0,0,0,0,0,1.175291,NORMAL
2018-05-17,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,24.0,31.8,26.7,86.0,0.0,3.3,4.0,1.0,7.800000000000001,4.2,4.2,-4.2,2.0,-0.3420201433256686,-0.9396926207859084,0.7067265555776158,-0.7074868024503348,0,0,0,0,0,1.1632855,NORMAL
2018-05-18,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,30.2,26.4,84.0,3.4,2.4,2.0,1.0,7.199999999999999,7.6,7.6,3.4,-2.0,1.2246467991473532e-16,-1.0,0.6944521021088763,-0.719538934232584,0,0,0,0,0,1.1404343,NORMAL
2018-05-19,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.0,26.1,82.0,0.0,3.4,3.0,1.0,9.0,3.4,7.6,-3.4,1.0,-1.0,-1.8369701987210294e-16,0.6819721490904629,-0.7313781428679254,0,0,0,0,0,1.0799338,NORMAL
2018-05-20,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,23.0,32.3,26.1,85.0,0.0,7.1,3.0,1.0,9.299999999999995,3.4,7.6,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.6692903895412567,-0.7430009249440493,0,0,0,0,0,1.0209203,NORMAL
