date,station_id,station_name,region_name,province_name,RR,rain_3d,rain_7d,ff_x,ff_avg,experiment_id,sequence_length,feature_group,anomaly_score,status,alert_type,triggers,threshold_p95,threshold_p99,threshold_p995
2020-12-27,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,19.2,26.800000000000026,26.79999999999994,6.0,3.0,rain_30d,30,rain_only,49.179237,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-28,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,4.1,30.900000000000027,30.89999999999994,5.0,3.0,rain_30d,30,rain_only,48.91102,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-29,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.5,23.800000000000026,31.39999999999994,5.0,4.0,rain_30d,30,rain_only,48.724724,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-12-30,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,14.6,19.20000000000003,45.99999999999994,4.0,2.0,rain_30d,30,rain_only,48.385773,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2019-03-19,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,0.0,188.20000000000005,247.35,2.0,0.0,rain_30d,30,rain_only,46.24848,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2019-03-27,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,45.4,95.70000000000005,227.6,2.0,0.0,rain_30d,30,rain_only,46.143047,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2019-03-26,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,31.9,118.30000000000004,198.6,2.0,1.0,rain_30d,30,rain_only,45.45386,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2019-03-28,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,22.7,100.00000000000004,238.7,2.0,1.0,rain_30d,30,rain_only,45.447567,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2019-03-25,96855,Stasiun Geofisika Sleman,Kab. Sleman,DI Yogyakarta,18.4,131.90000000000006,166.7,2.0,1.0,rain_30d,30,rain_only,44.596935,AWAS,CURAH_HUJAN_EKSTREM,Anomaly score above AWAS threshold; Rainfall above local percentile threshold,17.52765502929687,41.371433677673366,43.24736728668207
2020-01-13,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.0,14.700000000000014,65.99999999999997,6.0,3.0,wind_30d,30,wind_only,4.7513895,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-12,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,5.5,33.80000000000001,82.29999999999998,8.0,3.0,wind_30d,30,wind_only,4.665548,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-11,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,9.2,30.900000000000016,79.79999999999998,12.0,3.0,wind_30d,30,wind_only,4.5268245,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-14,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,0.7,6.200000000000014,37.09999999999997,4.0,2.0,wind_30d,30,wind_only,3.9841835,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2019-01-08,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,4.0,53.29999999999999,117.89999999999996,4.0,2.0,wind_30d,30,wind_only,3.9675531,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
2020-01-10,96851,Stasiun Klimatologi DI Yogyakarta,Kab. Sleman,DI Yogyakarta,19.1,21.700000000000017,117.2,10.0,2.0,wind_30d,30,wind_only,3.9627664,AWAS,ANGIN_KENCANG,Anomaly score above AWAS threshold; Wind above local percentile threshold,1.2990014731883996,3.3070113205909806,3.7463245701789853
